call_id,mpi_size,iterations,rotation_logs,bcast_rounds,master_b_compute_ms,log_pack_ms,log_bcast_ms,local_replay_ms,gather_ms,bcast_bytes,gather_bytes
1,2,10,54,9,0.0216961,0.00166893,0.204325,0.228882,0.818968,1548,480
2,2,17,154,16,0.0295639,0.00309944,0.484228,0.0624657,0.182152,4376,1024
3,2,15,132,14,0.0259876,0.00238419,0.444412,0.0531673,0.143766,3752,1312
4,2,16,146,15,0.0276566,0.00190735,0.41461,0.0522137,0.165701,4148,1312
5,2,1433,1552480,1432,5978.3,19.6157,174.327,720.6,73.894,43475168,16000000
